,GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,TRACTA,NAME_E,fire_per_tract,total_males,total_females,total_pop,pop_above_25,educ_pop_above_25_HS_or_above,educ_pop_above_25_bach_or_above,med_income_past_12_month,num_HH,total_fam_HH_householder,total_nonfam_HH_householder,total_pop_over16,total_pop_over16_labor_force,total_pop_over16_NOT_labor_force,total_housing_units,total_occupied_housing_units,total_vacant_housing_units,av_HH_size_total,av_HH_size_owner,av_HH_size_renter,med_yr_built,med_rent,med_house_value_owner,male_per_HH,female_per_HH,educ_HS_per_HH,educ_bach_per_HH,med_pop_per_HH,famHH_per_HH,non-famHH_per_HH,pop_over16_per_HH,pop_over16_labor_force_per_HH,pop_over16_NOT_labor_force_per_HH,occupied_HH_per_total_housing_units,vacancy_per_total_housing_unit,prediction,fire_score
459,G1700310031400,2011-2015,Illinois,17,Cook County,31,31400,"Census Tract 314, Cook County, Illinois",24,2528,2586,5114,4540,4317,3472,0.939366577,3112,868,2244,4878,3740,1138,3439,3112,327,1.53,-1.727001321,-1.626729284,0.7741043,0.346428894,-0.15873708,-0.592054886,-1.497688109,-0.191543962,1.434249347,-0.965646057,-1.802779225,1.802779225,1.56748072,-0.650265882,-0.443694703,0.478475288,-0.478475288,33.75743869,0.010847506
460,G1700310051400,2011-2015,Illinois,17,Cook County,31,51400,"Census Tract 514, Cook County, Illinois",24,983,890,1873,1388,1207,843,0.96813623,806,468,338,1567,1219,348,1417,806,611,2.32,-0.65515885,-0.480825414,-0.686594065,1.206978116,1.039415228,-0.16339978,-0.83462285,0.068611409,1.256361,-0.408611896,-0.020545521,0.020545521,1.944168734,0.280405039,-0.378661254,-3.250762989,3.250762989,32.42810366,0.040233379
461,G1700310063100,2011-2015,Illinois,17,Cook County,31,63100,"Census Tract 631, Cook County, Illinois",24,1241,1213,2454,1814,1809,1464,1.531048617,1321,425,896,2165,1976,189,1359,1321,38,1.86,-1.205183276,-1.123649536,0.110150498,0.997937819,1.026408466,-0.458278466,-1.285920701,-0.233509473,1.415307258,-0.790173537,-1.549934012,1.549934012,1.638909917,0.230755088,-0.662775094,1.223243007,-1.223243007,25.80665232,0.019535694
462,G1700310100300,2011-2015,Illinois,17,Cook County,31,100300,"Census Tract 1003, Cook County, Illinois",24,2439,3344,5783,4236,3819,1369,0.492475451,2446,1292,1154,4938,2428,2510,2766,2446,320,2.23,-0.105134424,-2.101860157,0.574918159,1.018841849,0.804528409,-0.397549502,-0.19662467,0.219094622,0.016782614,-0.375503728,-0.330274469,0.330274469,2.018806214,-1.276965819,0.206323289,0.249857501,-0.249857501,34.90926436,0.014271981
463,G1700310140302,2011-2015,Illinois,17,Cook County,31,140302,"Census Tract 1403.02, Cook County, Illinois",24,2188,2100,4288,2954,2305,846,0.074316273,1345,889,456,3377,2254,1123,1430,1345,85,2.92,0.007691099,0.539308519,-0.686594065,-0.273723987,-0.122012105,0.265149206,0.274653542,0.578593112,0.193476466,0.298855225,0.45389824,-0.45389824,2.510780669,0.770087632,0.018132421,0.873973073,-0.873973073,25.18959018,0.01872832
464,G1700310150600,2011-2015,Illinois,17,Cook County,31,150600,"Census Tract 1506, Cook County, Illinois",24,2006,2106,4112,2660,2457,571,0.183512755,1380,913,467,3143,2172,971,1548,1380,168,2.98,0.670541048,-0.480825414,-0.686594065,-0.190107869,0.058552355,0.082912306,0.189110407,0.735854824,-0.355234301,0.128272318,0.457605713,-0.457605713,2.277536232,0.464695312,-0.111107733,0.329338203,-0.329338203,26.75040699,0.019384353
465,G1700310150800,2011-2015,Illinois,17,Cook County,31,150800,"Census Tract 1508, Cook County, Illinois",24,2981,2431,5412,3754,2704,771,0.411822387,1772,1315,457,4382,3439,943,1867,1772,95,3.05,0.416683621,0.497385207,-0.686594065,-0.096039735,0.047840904,0.323579187,-0.185058814,0.135687491,-0.300845967,0.189227133,0.933134781,-0.933134781,2.472911964,1.563831049,-0.279847006,0.968914007,-0.968914007,19.4921085,0.011000061
466,G1700310240900,2011-2015,Illinois,17,Cook County,31,240900,"Census Tract 2409, Cook County, Illinois",24,648,615,1263,914,703,243,-0.333775412,523,236,287,972,670,302,571,523,48,2.41,0.839779333,-0.7742886,-0.421012544,-0.09952374,0.308741247,-0.142977895,-0.660655661,-0.293057598,-0.225572368,-0.33404714,-0.784901501,0.784901501,1.858508604,-0.412745972,-0.235293546,0.600776866,-0.600776866,32.08946601,0.061356532
467,G1700310242400,2011-2015,Illinois,17,Cook County,31,242400,"Census Tract 2424, Cook County, Illinois",24,1412,1432,2844,2340,2043,1506,0.769878253,1376,551,825,2659,2078,581,1512,1376,136,2.06,-1.162873705,-0.732365288,-0.686594065,0.684377374,1.838183433,-0.367000383,-0.988766206,0.038469867,1.380189825,-0.618949741,-1.085007906,1.085007906,1.932412791,0.273715728,-0.388033762,0.53549109,-0.53549109,23.99596438,0.017438928
468,G1700310271200,2011-2015,Illinois,17,Cook County,31,271200,"Census Tract 2712, Cook County, Illinois",24,644,610,1254,783,545,48,-0.954151693,359,255,104,953,355,598,458,359,99,3.27,2.278304754,0.567257394,-0.686594065,-0.012423616,-0.866457951,0.441032493,0.609111044,0.117165368,-1.069238396,0.548460405,0.745339822,-0.745339822,2.6545961,-1.288301119,0.835761694,-0.864859869,0.864859869,47.98744334,0.133669759
469,G1700310300500,2011-2015,Illinois,17,Cook County,31,300500,"Census Tract 3005, Cook County, Illinois",24,1708,1565,3273,1825,951,129,-0.591797346,918,724,194,2340,1488,852,1046,918,128,3.57,0.670541048,1.503544702,-0.686594065,-0.79632473,-0.57648367,0.511230199,0.622769965,-1.019980095,-1.051855972,0.607661323,1.208225329,-1.208225329,2.549019608,0.605527039,0.109816552,0.175735731,-0.175735731,28.73196193,0.031298433
470,G1700310390700,2011-2015,Illinois,17,Cook County,31,390700,"Census Tract 3907, Cook County, Illinois",24,2892,2872,5764,4380,4299,3219,0.044000675,3217,1037,2180,5344,2841,2503,3669,3217,452,1.79,-1.642382178,-1.053777349,1.238871962,1.043229883,-0.519100897,-0.500869535,-1.347767937,-0.311524389,1.140912245,-0.844159313,-1.546247856,1.546247856,1.661175008,-1.605120194,-0.037856255,0.16659985,-0.16659985,44.81780704,0.013931553
471,G1700310420200,2011-2015,Illinois,17,Cook County,31,420200,"Census Tract 4202, Cook County, Illinois",24,809,962,1771,872,765,384,-0.461560935,612,326,286,1230,703,527,763,612,151,2.58,-1.487247084,0.217896458,-0.686594065,-0.141331799,-0.597906572,-0.055734438,0.30027216,-0.515148653,0.189536813,0.057942237,-0.303868525,0.303868525,2.009803922,-0.809389036,0.043884657,-0.662322427,0.662322427,45.5510838,0.074429875
472,G1700310480200,2011-2015,Illinois,17,Cook County,31,480200,"Census Tract 4802, Cook County, Illinois",24,481,727,1208,927,845,235,-0.586443099,544,280,264,1029,568,461,634,544,90,2.22,-0.500023756,-0.83018635,-0.221826403,0.095580537,-0.626215407,-0.516429035,-0.271203206,0.200189793,-0.308790744,-0.493114367,-0.410036822,0.410036822,1.891544118,-1.12272685,0.030416862,-0.041566441,0.041566441,43.09842748,0.079225051
473,G1700310491200,2011-2015,Illinois,17,Cook County,31,491200,"Census Tract 4912, Cook County, Illinois",24,1073,1220,2293,1570,1362,244,-0.420084371,727,568,159,1853,926,927,841,727,114,3.15,0.487199573,0.707001768,-0.354617164,0.677409364,-0.926136036,0.106389172,0.558066056,0.955232488,-0.554453102,0.270986279,1.164644598,-1.164644598,2.548830812,-0.434748044,0.451316647,0.029476513,-0.029476513,37.53677749,0.051632431
474,G1700310560900,2011-2015,Illinois,17,Cook County,31,560900,"Census Tract 5609, Cook County, Illinois",24,2760,2581,5341,3834,3420,964,0.992795932,1860,1339,521,4493,2936,1557,1951,1860,91,2.87,0.205135765,-0.746339725,0.375732019,1.025809859,-0.100589203,0.114748846,-0.146867382,0.873293199,-0.088788878,0.039700243,0.801962967,-0.801962967,2.415591398,0.47842307,0.020250848,1.01596984,-1.01596984,23.98598015,0.012895688
475,G1700310570300,2011-2015,Illinois,17,Cook County,31,570300,"Census Tract 5703, Cook County, Illinois",24,2812,3154,5966,3149,2035,428,-0.218508269,1632,1259,373,4126,2719,1407,1847,1632,215,3.65,0.910295285,1.741110139,-0.022640263,-0.507152319,-0.481610818,0.366479369,1.175576144,-0.522374292,-0.741507776,0.681559084,1.106480713,-1.106480713,2.528186275,0.74077637,0.044889717,0.241930364,-0.241930364,30.37345187,0.018611184
476,G1700310670900,2011-2015,Illinois,17,Cook County,31,670900,"Census Tract 6709, Cook County, Illinois",24,753,753,1506,1026,840,145,-0.894425441,483,312,171,1212,698,514,632,483,149,3.12,0.698747429,0.413538582,-0.686594065,-0.176171849,-1.20616397,0.193830556,0.26899437,0.638440618,-0.644751173,0.241481004,0.36527347,-0.36527347,2.50931677,0.078837311,0.243737904,-1.08235499,1.08235499,40.71651939,0.084299212
477,G1700310760801,2011-2015,Illinois,17,Cook County,31,760801,"Census Tract 7608.01, Cook County, Illinois",24,2366,2111,4477,3301,3040,1256,-0.045513291,2164,1108,1056,3446,2484,962,2329,2164,165,2.07,-0.711571612,-0.858135225,1.637244243,0.377784938,-0.657584656,-0.296288748,-1.146958858,-0.15004677,0.069600242,-0.617317934,-0.425932629,0.425932629,1.592421442,-0.811841511,-0.366078501,0.747426797,-0.747426797,32.37608395,0.014961222
478,G1700310832300,2011-2015,Illinois,17,Cook County,31,832300,"Census Tract 8323, Cook County, Illinois",24,934,1029,1963,1511,1464,1191,1.980956219,852,412,440,1623,1365,258,946,852,94,2.29,-0.415404613,-0.704416413,1.770035004,1.726094854,1.690518429,-0.293238031,-0.583394914,0.589336348,2.153716145,-0.424844535,-0.593962171,0.593962171,1.904929577,0.549189671,-0.505562896,0.430987335,-0.430987335,21.94527772,0.025757368
479,G1700310836300,2011-2015,Illinois,17,Cook County,31,836300,"Census Tract 8363, Cook County, Illinois",24,770,821,1591,1008,985,547,0.289428817,654,321,333,1309,884,425,748,654,94,2.36,-0.697468421,-0.313132165,-0.686594065,0.085128522,-0.067689746,-0.207851006,-0.46787309,0.088888407,0.722217456,-0.319470428,-0.551092774,0.551092774,2.001529052,-0.201174104,-0.164031697,0.139148536,-0.139148536,32.77655089,0.05011705
480,G1700310839200,2011-2015,Illinois,17,Cook County,31,839200,"Census Tract 8392, Cook County, Illinois",24,1149,1368,2517,1954,1711,875,-0.696054346,1472,377,1095,2291,1403,888,1668,1472,196,1.71,-2.079581081,-1.011854036,1.438058103,-0.224947918,-0.866457951,-0.625492211,-1.258974854,-0.721833398,0.105350225,-0.911128105,-1.937491161,1.937491161,1.55638587,-1.395367469,-0.209879723,0.229714179,-0.229714179,47.65211723,0.032372362
481,G1700310843700,2011-2015,Illinois,17,Cook County,31,843700,"Census Tract 8437, Cook County, Illinois",24,1189,1251,2440,1776,1604,922,1.272461092,966,592,374,1834,1395,439,1036,966,70,2.53,0.176929384,-1.067751786,-0.487407924,0.705281403,1.237577071,-0.151563208,-0.371584589,0.452889752,1.023203819,-0.243214866,0.16960249,-0.16960249,1.898550725,0.075735557,-0.35633123,0.783800705,-0.783800705,22.18499325,0.022965832
482,G1700310030300,2011-2015,Illinois,17,Cook County,31,30300,"Census Tract 303, Cook County, Illinois",23,1781,1450,3231,2276,1861,754,-0.520495362,1414,691,723,2674,1960,714,1538,1414,124,2.29,-0.062824853,-0.760314163,-0.089035643,-0.402632171,0.166431969,-0.121357301,-1.025743673,-0.359197451,-0.050650648,-0.440383696,-0.563739891,0.563739891,1.891089109,-0.097931869,-0.306632284,0.638932373,-0.638932373,27.20006036,0.019236252
